WKT,nom,description
,,
"POINT (-75.704794 45.4042407)",,Point 3
"POINT (-75.7043817 45.4043198)",,Point 4
"POINT (-75.7035877 45.4045156)",,Point 5
"POINT (-75.7028796 45.4045458)",,Point 6
"POINT (-75.7019516 45.4049337)",,Point 7
"POINT (-75.7011845 45.4051823)",,Point 8
"POINT (-75.7005461 45.4053668)",,Point 9
"POINT (-75.6993404 45.4055999)",,Point 10
"POINT (-75.6985646 45.4060316)",,Point 11
"POINT (-75.6978156 45.4062886)",,Point 12
"POINT (-75.696673 45.4064515)",,Point 13
"POINT (-75.7014312 45.4049412)",,Point 14
"POINT (-75.7008304 45.4052689)",,Point 15
"POINT (-75.7006641 45.4051484)",,Point 16
"POINT (-75.6998306 45.4056069)",,Point 17
"POINT (-75.7000472 45.4055551)",,Point 18
"POINT (-75.7006802 45.4053103)",,Point 19
"POINT (-75.700927 45.4052463)",,Point 20
"POINT (-75.7011791 45.4050052)",,Point 21
"POINT (-75.701796 45.4050203)",,Point 22
"POINT (-75.7021071 45.4049036)",,Point 23
"POINT (-75.694986 45.4074132)",,Point 24
"POINT (-75.6940204 45.4078049)",,Point 25
"POINT (-75.6931621 45.4082305)",,Point 26
"POINT (-75.6920222 45.4087803)",,Point 27
"POINT (-75.6908232 45.4092209)",,Point 28
"POINT (-75.6894714 45.4099892)",,Point 29
"POINT (-75.6877763 45.4108026)",,Point 30
"POINT (-75.6864352 45.4112997)",,Point 31
"POINT (-75.6892074 45.4101938)",,Point 32
"POINT (-75.6888212 45.4103256)",,Point 33
"POINT (-75.6884886 45.4104687)",,Point 34
"POINT (-75.688097 45.4106608)",,Point 35
"POINT (-75.687464 45.4109093)",,Point 36
"POINT (-75.6871261 45.4110223)",,Point 37
"POINT (-75.6868417 45.4111654)",,Point 38
"POINT (-75.6871797 45.4108491)",,Point 39
"POINT (-75.701661 45.4050871)",,Point 40
"POINT (-75.7014894 45.4051398)",,Point 41
"POINT (-75.7012533 45.405185)",,Point 42
"POINT (-75.7010817 45.4052151)",,Point 43
"POINT (-75.700927 45.4052463)",,Point 44
"POINT (-75.7007813 45.4053055)",,Point 45
"POINT (-75.7006096 45.4053695)",,Point 46
"POINT (-75.7003843 45.4054336)",,Point 47
"POINT (-75.7002234 45.40549)",,Point 48
"POINT (-75.7000472 45.4055551)",,Point 49
"POINT (-75.69988 45.4055928)",,Point 50
"POINT (-75.6997571 45.4056267)",,Point 51
"POINT (-75.6996069 45.4056794)",,Point 52
"POINT (-75.6994353 45.4057434)",,Point 53
"POINT (-75.6993012 45.4057886)",,Point 54
"POINT (-75.699568 45.4056978)",,Point 55
"POINT (-75.6994782 45.4057171)",,Point 56
"POINT (-75.6996445 45.4056794)",,Point 57
"POINT (-75.6997196 45.4056342)",,Point 58
"POINT (-75.69988 45.4055928)",,Point 59
"POINT (-75.7002234 45.40549)",,Point 60
"POINT (-75.7000844 45.4055212)",,Point 61
"POINT (-75.6999127 45.4055702)",,Point 62
"POINT (-75.7003097 45.405461)",,Point 63
"POINT (-75.700476 45.4054045)",,Point 64
"POINT (-75.7003843 45.4054336)",,Point 65
"POINT (-75.7002902 45.4054614)",,Point 66
"POINT (-75.7000844 45.4055212)",,Point 67
"POINT (-75.7000146 45.4055589)",,Point 68
"POINT (-75.7000844 45.4055212)",,Point 69
"POINT (-75.700476 45.4054045)",,Point 70
"POINT (-75.7003097 45.405461)",,Point 71
"POINT (-75.7000656 45.4055335)",,Point 72
"POINT (-75.7000938 45.4055236)",,Point 73
"POINT (-75.6999556 45.4055589)",,Point 74
"POINT (-75.700258 45.405475)",,Point 75
"POINT (-75.7002279 45.4054806)",,Point 76
"POINT (-75.7003244 45.4054514)",,Point 77
"POINT (-75.7004371 45.4054185)",,Point 78
"POINT (-75.7005336 45.4053949)",,Point 79
"POINT (-75.7005061 45.4053978)",,Point 80
"POINT (-75.7004619 45.4054109)",,Point 81
"POINT (-75.7002755 45.4054712)",,Point 82
"POINT (-75.7001172 45.4055192)",,Point 83
"POINT (-75.7001782 45.4055037)",,Point 84
"POINT (-75.7001923 45.4054952)",,Point 85
"POINT (-75.7000555 45.4055418)",,Point 86
"POINT (-75.7001474 45.405514)",,Point 87
"POINT (-75.7001675 45.4055074)",,Point 88
"POINT (-75.7001923 45.4054952)",,Point 89
"POINT (-75.7002138 45.4054919)",,Point 90
"POINT (-75.7002882 45.4054712)",,Point 91
"POINT (-75.7003553 45.4054481)",,Point 92
"POINT (-75.700366 45.4054439)",,Point 93
"POINT (-75.6999704 45.4055724)",,Point 94
"POINT (-75.6999791 45.4055574)",,Point 95
"POINT (-75.6999992 45.4055569)",,Point 96
"POINT (-75.7000166 45.4055493)",,Point 97
"POINT (-75.7000415 45.4055475)",,Point 98
"POINT (-75.7000616 45.4055362)",,Point 99
"POINT (-75.7000783 45.4055333)",,Point 100
"POINT (-75.7001065 45.4055235)",,Point 101
"POINT (-75.7001259 45.4055192)",,Point 102
"POINT (-75.7001474 45.405514)",,Point 103
"POINT (-75.7001508 45.405506)",,Point 104
"POINT (-75.7001749 45.4054976)",,Point 105
"POINT (-75.7001963 45.40549)",,Point 106
"POINT (-75.7002413 45.405475)",,Point 107
"POINT (-75.6928283 45.408411)",,Point 108
"POINT (-75.6922275 45.4087519)",,Point 109
"POINT (-75.6922463 45.4087161)",,Point 110
"POINT (-75.6923268 45.4086841)",,Point 111
"POINT (-75.692367 45.4086464)",,Point 112
"POINT (-75.6924636 45.4086182)",,Point 113
"POINT (-75.6926406 45.4085315)",,Point 114
"POINT (-75.6927747 45.4084525)",,Point 115
"POINT (-75.6926567 45.4085071)",,Point 116
"POINT (-75.6930697 45.4083093)",,Point 117
"POINT (-75.6929571 45.4083414)",,Point 118
"POINT (-75.6928739 45.4083922)",,Point 119
"POINT (-75.6921739 45.4087443)",,Point 120
"POINT (-75.6920907 45.4087726)",,Point 121
"POINT (-75.6919888 45.4088196)",,Point 122
"POINT (-75.6919003 45.4088592)",,Point 123
"POINT (-75.6862607 45.4114153)",,Point 124
"POINT (-75.6860435 45.4114492)",,Point 125
"POINT (-75.6853702 45.4117316)",,Point 126
"POINT (-75.6836568 45.4123245)",,Point 127
"POINT (-75.6835334 45.4123584)",,Point 128
"POINT (-75.6834476 45.4123885)",,Point 129
"POINT (-75.6833645 45.4124167)",,Point 130
"POINT (-75.6832947 45.4124393)",,Point 131
"POINT (-75.6831794 45.4124751)",,Point 132
"POINT (-75.6830506 45.4125147)",,Point 133
"POINT (-75.6818324 45.4129232)",,Point 134
"POINT (-75.6816742 45.4129853)",,Point 135
